HPO,def,gene,t_start,t_end,pval,no_freq,OR,CI_lower,CI_upper,PPV
HP:0002133,Status epilepticus,SCN1A,0.166666666666667,1.83333333,3.28598519399387e-13,0.11021374364687,15.4126227531155,7.0850618111201,35.4608502928237,0.0130922693266833
HP:0002133,Status epilepticus,SCN1A,0.166666666666667,1.91666666333333,5.89343353266145e-13,0.113567907995619,14.9010356731876,6.8513522365239,34.2817761665987,0.0125
HP:0002133,Status epilepticus,SCN1A,0.666666666666667,1.83333333,8.13370664122812e-13,0.0949195958445994,23.1569929321054,9.1039340823844,66.1337454582126,0.0125832716506292
HP:0002133,Status epilepticus,SCN1A,0.166666666666667,1.99999999666667,9.42318855036843e-13,0.116341808862211,14.5002371541502,6.66775713458379,33.3622866988399,0.0120274914089347
HP:0002133,Status epilepticus,SCN1A,0.0833333333333333,1.83333333,1.07439000807904e-12,0.111844390413338,13.8967391304348,6.51267712929703,31.030912562698,0.0128755364806867
HP:0002133,Status epilepticus,SCN1A,0.25,1.83333333,1.28398911106956e-12,0.107789032483409,15.0497849525717,6.8563969374466,34.835308818044,0.0127959053103007
HP:0002133,Status epilepticus,SCN1A,0.416666666666667,1.83333333,1.33928093207004e-12,0.102776801405975,16.5866621067031,7.31835569273298,39.9999999999966,0.012829169480081
HP:0002133,Status epilepticus,SCN1A,0.166666666666667,2.08333333,1.35601272031622e-12,0.118545068365857,14.1952560317622,6.52738416109045,32.6429515599612,0.0116214720531267
HP:0002133,Status epilepticus,SCN1A,0.75,1.83333333,1.36869967523778e-12,0.092555476020043,26.1448827017272,9.69263300660922,81.6633137287339,0.0122230710466005
HP:0002133,Status epilepticus,SCN1A,0.166666666666667,1.66666666333333,1.4494970500201598e-12,0.103492884864166,14.4375,6.70301273610379,32.4435391055988,0.0136986301369863
HP:0002133,Status epilepticus,SCN1A,0.666666666666667,1.91666666333333,1.52264880974546e-12,0.0986782292468005,22.1824440619621,8.72059682052515,63.3259752171899,0.0119047619047619
HP:0002133,Status epilepticus,SCN1A,0.0833333333333333,1.91666666333333,1.87032917793056e-12,0.115095628415301,13.4547477744807,6.30616941770556,30.0444749872919,0.0123094958968347
